College Name,City,State,Address,Pincode,Phone Numbers,Emails,Principal Name,Affiliation,NAAC Grade,College Type,Courses Offered,Placement Summary,Top Recruiters,Official Website,Source URL
,,,,,,,,,,,,,,,https://solatatech.com/article/top-20-engineering-colleges-in-india-with-a-100-placement-system
"Top Engineering Colleges in India: Fees 2026, Rankings, Placements",,,"Mumbai, Maharashtra",314147,,,,,A++,,BTECH | MBA | BE | BTech | DIPLOMA,"MBA: 90.0% placed || BE: N/A% placed, Avg 19.61 LPA || BTech: 90.0% placed, Avg 17.5 LPA",Oracle | Microsoft | Google,,https://collegedunia.com/engineering-colleges
"Top Engineering Management Colleges in India 2024 - Ranking, Placements, Courses, Admission | Jagran Josh",,,"National Institute of Technology (NIT), Durgapur Durgapur, West Bengal",,,,,,,,MBA | BE | BTech,,,,https://www.jagranjosh.com/colleges/engineering/engineering-management-engg
Top pvt. engineering colleges with best placements,,,,,,,,,,,MBA | BE | BCA,,,,https://bestcolleges.indiatoday.in/news-detail/top-pvt-engineering-colleges-with-best-placements-5842
"Top M.Tech Engineering Management Colleges in India 2026 : Ranking, Fees 2026",,,,149625,,hello@collegedekho.com,,,A++,,B.E | BTECH | MBA | BE | BTech | MCA | DIPLOMA | BCA,,,,https://www.collegedekho.com/mtech-engineering-management-colleges-in-india-listing-1702-21221-19163/
"Top Engineering Management Colleges in India - Fees, Courses, Placements, Cut Off, Admission",,,,,,,,,,,BTECH | MBA | BE,,,,https://www.shiksha.com/engineering/colleges/engineering-management-colleges-india
Top 30 Engineering Colleges In India 2023 Based On Placement And Industry Interface,,,,,,,,,,,BTECH | MBA | BE | DIPLOMA,"MBA: N/A% placed, Avg 3.0 LPA",,,https://www.careerindia.com/top-25-engineering-colleges-based-on-placement-and-industry-inteface-011291.html
Top Engineering Colleges in India 2026: Rankings | Private & Government Colleges,,,,750950,8800306519 | 9312332433,,,,,,B.E | BTECH | MBA | BE | BTech | DIPLOMA | BCA,,,,https://iirfranking.com/ranking/top-engineering-colleges-in-india
Placement Records of Top Engineering Colleges in India,,,,,,,,,,,MBA | BE,"BE: N/A% placed, Avg 13.2 LPA",HCL | Microsoft | Google | Flipkart | Amazon,,https://www.successcds.net/top-colleges/placement-records-top-engineering-colleges.html
"Staff Directory - Mount Carmel College, Autonomous",,,"Menu Academics Admissions CEE Travel Desk Newsletter IQAC Annual Report Careers Logins Mandatory Disclosure Circular on SEP NAAC Academics Admissions CEE Travel Desk Newsletter IQAC Annual Report Logins Careers Mandatory Disclosure Circular on SEP NAAC Home About Us Carmelite Sisters of St. Teresa (CSST) Vision and Mission Profile Administrators Registrars Deans Former Principals Statutory Body Academics School of Natural & Applied Sciences School of Humanities & Social Sciences School of Commerce School of Management PGDBA / PGDBIA LOCF (Program Matrix – Syllabus) – PO & CO Teaching Plan Admissions Admission Guidelines Admission Overview Admission Process List of Programs MCC Calendar Admission Prospectus Admission Checklist UUCMS and Admission Approval Notice Entrance Test Cancellation Policy Scholarships Carmel Connect Orientation / Reopening Queries registraradmission@mccblr.edu.in admission@mccblr.edu.in Infrastructure Library Auditoriums Sports Facilites Laboratories Hostel Chapel Cafeteria ICT Research Centre For Research and Development CSRAL Vision and Mission Research Promotion Policy Code of Ethics IHEC Projects Government Funded DBT STAR COLLEGE SCHEME Management Funded Research Guides & Ph.D. Scholars Publications Patent Details Journal-Carmelight Collaboration & MOU Research Facility Research Committee Achievements Activities Incubation and Entrepreneurship MCCIIE MCCIIE Portal Carmel Incubator Foundation(CIF) Examination Centre Overview Timings for Examination related Documents/ Queries Continuous Internal Assessment(CIA) End Semester Examinations (ESE) Attendance Results / Revaluation Promotion & Awards Important Documents Convocation Degree Certificate Contact Student Life Student Scholarship Placements Notifications Code of Conduct & Dress Code Guidelines Centre for Extended Education (CEE) Internal Complaints Committee Clubs & Association Student Union NSS NCC Student Counselling Conferences GST 2.0: Decoding India’s Economic Landscape on Sustainability, Sectoral Impact and Fiscal Dynamics Contact Us",560001,8022286386 | 9606955990 | 8022261759,admission@mccblr.edu.in | diplomacourses@mccblr.edu.in | registraradmission@mccblr.edu.in,,,A,,B.E | MBA | BE | MCA | DIPLOMA | BCA,,,,https://mccblr.edu.in/staff-directory/
ISME Contact Us | Bangalore Campus | ISME Bangalore,,,,252022,8201920192 | 8880612345 | 9986860198,headplacements@isme.in | contact@isme.in | info@isme.in | contactus@isme.in | admissions@isme.in,,,,,MBA | BE | MCA | DIPLOMA | BCA,,,,https://www.isme.in/contact-us/
PCIMCA-HOME,,,,,9011032856,admission@pcimca.in,,Savitribai Phule Pune University (SPPU) starting,,,MBA | BE | MCA | BCA,,,,https://www.pcimca.in/
LEAD College (Autonomous),,,Alumni ERP Login Grievance Redressal Accolades Library Apply For MBA Apply For MCA MBA MCA About Us The LEAD Story Vision & Mission Director Director's Message Infrastructure Campus Learning Resource Centre Library Hostels Sports Facility Others Policies RTI Financial Statements Gallery Lead Operating Teams (LOT) Academics Departments Management Studies Computer Applications Faculty Management Studies Computer Applications Academic Calendar Examination Newsletter Administration Deans Staff Governing Body Admission Overview Brochure Apply Online Apply MBA Apply MCA Entrepreneurship LEAD-Bi LEAD IEDC Research LEAD Research Center Publications LEADER Journal Quality & Accreditation HLACT-UK IQAC: QLEAD NAAC NBA NIRF AICTE Statutory Information Faculty Initiatives Placements About Us The LEAD Story Vision & Mission Director Director's Message Infrastructure Campus Learning Resource Centre Library Hostels Sports Facility Others Policies RTI Financial Statements Gallery Lead Operating Teams (LOT) Academics Departments Management Studies Computer Applications Faculty Management Studies Computer Applications Academic Calendar Examination Newsletter Administration Deans Staff Governing Body Admission Overview Brochure Apply Online Apply MBA Apply MCA Entrepreneurship LEAD-Bi LEAD IEDC Research LEAD Research Center Publications LEADER Journal Quality & Accreditation IQAC:QLEAD NAAC NBA NIRF AICTE Statutory Information Faculty Initiatives Placements,678009,9497713693,mail@lead.ac.in | info@lead.ac.in,,University,,,MBA | BE | MCA,,,,https://lead.ac.in/
BMS Institute of Technology and Management Bangalore (Bengaluru),,,"BMS Institute of Technology & Management, Doddaballapur Main Road, Avalahalli, Yelahanka, Bengaluru - 560119. Contact for Admissions : BMS Trust Office : 080-26611636 Admissions Enquiry: 080-26146800/080-26146829/080-26146856 BMSIT Office / Fee Enquiry : 080-26146829 Hostel : 9741590336 Email : principal@bmsit.in Women Helpline Number 24x7 : 080-26146852",560119,8026146856 | 9741590336 | 8026146829 | 8026146800 | 8026146852 | 8026611636,shinolavenus@gmail.com | deepashasingh1@gmail.com | akankshraosr@gmail.com | pranavraikote@gmail.com | principal@bmsit.in | ankithalasagi@gmail.com,Academic Council,,,,MBA | BE | MCA,,,bmset-officials.php,https://bmsit.ac.in/
Indian Institute of Management Bangalore,,,"Contact us Indian Institute of Management Bangalore Bannerghatta Road, Bengaluru, India - 560076 Phone No: +91-80- 26993000 / 26582450",202622,8026993000,,Alumni Relations,,,,MBA | BE | DIPLOMA,,,,https://www.iimb.ac.in/
Best Management and IT College for BBA | MBA | BCA | MCA,,,Admission Enquiry 2026-27,400614,9819238118 | 8080807701 | 7208316994,admissions.ibsar@gmail.com,,,,,MBA | BE | MCA | BCA,,,https://www.instagram.com/ibsar_navimumbai/,https://www.ibsar.ac.in/
SCHOOL OF MANAGEMENT SCIENCES,,,,,7052055555 | 7518501100 | 8953761555,,,Letter UGC 12(B) & 2(f) Letter NIRF,A,,MBA | BE | MCA | BCA,,,,https://www.smsvaranasi.com/
,,,,,6676677227 | 7850066755 | 8556500722 | 8961161161 | 6833722778 | 7800611833 | 6676117780 | 8955633361 | 6117226679 | 6676110000 | 6033350027 | 8335565565 | 6556000000 | 6055655650 | 7800000000 | 6611556611 | 7227780072 | 7220722722 | 6556278556 | 7805562788 | 7833327805 | 6556556556 | 6676117787 | 6333611611 | 7800000667 | 6676117220 | 7802780000 | 6670722667 | 6222222500,,,,,,,,,,https://mdu.ac.in/UpFiles/UpPdfFiles/2024/Jun/4_06-14-2024_12-02-05_List%20of%20Management%20Colleges.pdf
